"site","plot","stab.com","stab.pop","asyn","SAE","CPE.env","CPE.int","richness","shannon","inv.simpson","evenness","CPE.env.LB","CPE.env.UB","CPE.int.LB","CPE.int.UB"
"SEV","SEV_G_1_W_3",1.13446788512256,0.896664770479325,1.26520849538464,1.27188417083313,0.979954301754585,1.01530672183783,3.46153846153846,0.438609996364246,1.22459837205335,0.171001425462188,0.956074104054005,1.00914346730078,0.985740377571417,1.04045425658935
"SEV","SEV_G_4_E_1",1.01338502461779,0.969947503725336,1.04478337304402,1.04200753869746,1.00238756875708,1.00027699752799,3.15384615384615,0.106845781886026,1.02964327242381,0.0404863436224036,1.00022119264004,1.00449209939364,0.998180007647555,1.00244223277408
"SEV","SEV_G_4_E_3",0.816437549678528,0.716284439699401,1.1398230987974,1.136532945221,1.00414876062721,0.998839342963734,2.61538461538462,0.315878785341701,1.141202165159,0.137184413424202,0.98103817150305,1.01823512465297,0.984934951786109,1.0222794194707
"SEV","SEV_G_4_S_1",1.03010770637508,0.570817462242701,1.8046184192191,2.22339100697106,1.08586156868602,0.750078625256005,5.07692307692308,1.71615774133887,3.78529043274139,0.605728384323472,0.979087062098235,1.20733247922973,0.672268337951416,0.828989148794683
"SEV","SEV_G_4_S_3",1.01319634600375,0.977241848812096,1.03679181078395,1.048748501531,0.995944585404304,0.992631579142506,2.92307692307692,0.12228061132557,1.03660975825787,0.0509949757659211,0.99109443478888,1.00096361297821,0.987647377047193,0.997482245890579
"SEV","SEV_G_4_W_1",1.50641975340505,0.730828682033016,2.06124881307955,1.96384234826959,1.03669167548116,1.02044610165324,3.69230769230769,1.12104553923397,1.96385620140711,0.413967783454564,0.853865702412449,1.1785603362956,0.890578552938306,1.23020996575201
"SEV","SEV_G_4_W_3",0.977612850490309,0.632443508367183,1.54577102548537,2.07320303728893,0.908054154267536,0.825051871848077,4.38461538461539,1.27722781063488,1.99878857842336,0.471641112899247,0.79807343660508,1.03301167383917,0.721786858515463,0.934263760446139
"SEV","SEV_G_5_E_1",1.20819801830206,1.02515757091797,1.17854859835858,1.16311596515072,1.00573901227025,1.00759376756334,2.92307692307692,0.306095067946356,1.13452437882395,0.132935398946904,0.986652109312157,1.02370271419116,0.989807382182603,1.02697652111389
"SEV","SEV_G_5_E_3",1.09792329443248,0.933954304793617,1.17556425276619,1.15776371295083,1.00610375303682,1.00933718107183,3.23076923076923,0.307677602310228,1.1434962706483,0.119954649948617,0.982579670445373,1.02859462278399,0.98714782011712,1.03337669841186
"SEV","SEV_G_5_N_1",1.31059687851969,1.07875718294927,1.2149136981286,1.25473838105203,0.997440296195283,0.971143923136907,4.92307692307692,0.460053432690613,1.2317068047625,0.165929201471673,0.969296529214853,1.03683146489931,0.933866751653743,0.998931226916664
"SEV","SEV_G_5_N_3",1.57784888571353,1.27258861580991,1.23987348787444,1.25466187384766,0.993881012240495,0.994730806934008,4.15384615384615,0.403410731612541,1.18616877358383,0.152861677950495,0.95547603437846,1.03280083157346,0.956829199652026,1.0342638630771
"SEV","SEV_G_5_S_1",1.02557251397598,0.672269142851945,1.52553858061256,1.57325928538233,0.95266297323147,1.01875736397427,3.53846153846154,1.09959996084613,2.31715970714436,0.442511577221599,0.902038249841153,1.01624881504822,0.954187505755527,1.07497524472413
"SEV","SEV_G_5_S_3",1.22755162306558,1.06206213091201,1.15581903104996,1.14705479519928,1.00509609612991,1.00255618576939,4.61538461538461,0.292255659786829,1.10368371135574,0.107921064265307,0.994453216342399,1.01279851417834,0.994907307483767,1.01326235114595
"SEV","SEV_G_5_W_1",1.35429652586876,1.25054601123445,1.08296417221138,1.082353971683,1.00057421100943,1.00000106343154,3,0.151773041213616,1.04906624881846,0.0591719445735264,0.992984744398708,1.00676357928992,0.993841988214377,1.00763289064819
"SEV","SEV_G_5_W_3",1.05737629659864,0.848841324307209,1.24567014625687,1.24909353250144,1.00105761102802,0.996333787894336,4,0.501019543468841,1.23740077656822,0.195333113307425,0.98067766724662,1.02316041038643,0.9746878941468,1.01690835481021
"SGS","SGS_UNUN_11_10",1.31517264622955,0.706807204006675,1.86072331857151,2.0167203920973,0.945138274225984,0.986347068900512,3.21428571428571,1.47131499839585,3.5460521429102,0.707552950590415,0.789758202647988,1.16761854955651,0.790233709094265,1.16831247201228
"SGS","SGS_UNUN_11_11",1.97816201770333,0.807072009359717,2.45103534103814,2.2857229933273,1.06167774258673,1.02437536103189,3.21428571428571,1.55188371901948,3.713615878363,0.706292718107536,0.859759610540371,1.36227234672268,0.787353398185586,1.24723830287936
"SGS","SGS_UNUN_11_12",1.95725994947816,0.805186955527907,2.43081427988971,1.9409171702749,1.05236254448924,1.20909733142709,3,1.31033950527241,3.19481238126032,0.6301401020458,0.815891806400765,1.36697640592049,0.918176750267006,1.53508312987378
"SGS","SGS_UNUN_11_13",1.49522173067069,0.637310691592298,2.34614254930343,2.11785727095423,1.05182090027912,1.06232760920593,3.35714285714286,1.694428592634,4.08117806645397,0.66060898539959,0.903301145783114,1.23005543094223,0.900780861507912,1.22644517187877
